State A,State A name,Conti-guity ,Shared river,Number shared rivers,Type of shared river,River(s),Length of river boundaries,Total length,Drainage basin(s),Size of basin in  km2,Total,Size of basin in state A,Total,Size of basin in state B,Total,Upstream State,Upstream State average,State B,State B name,Conti-guity start year,Conti-guity end year,,,,
2,USA,1,1,8,4,"St. Lawrence, 
Niagara River, Detroit River, 
St. Clair, Pigeon River, 
Rainy River, St. John, St.Croix","185, 50, 45, 60, 45, 135, 165, 180",1275,"St. Lawrence, St. John, St. Croix","1280000, 51800, 8100",1339900,"48000, 17600, 6700",72300,"800000, 34200, 1400",835600,"B,B,B,B,B,B,A,B",2,20,Canada,1920,2016,,,,
2,USA,1,1,2,4,"Colorado, Rio Grande","35, 1450",1485,"Colorado, Rio Grande","615000, 550000",1165000,608850.3025,611875,"6150, 247500",253650,"A,A",1,70,Mexico,1831,2016,,,,
41,Haiti,1,1,4,4,"Libon, Artibonite, Macassi, Pedernales","25, 55, 25, 30",135,"Artibonite, Pedernales","7900, 450",8350,"5250, 190",5440,"2650, 260",2910,"B,B,A,B",2,42,Dominican Republic,1894,1914,,,,
41,Haiti,1,1,2,4,"Libon, Artibonite, Macassi","25, 55, 25",105,Artibonite,7900,7900,5250,5250,2650,2650,"B,B,A",2,42,Dominican Republic,1934,2016,,,,
70,Mexico,1,1,1,1,Hondo,145,145,Hondo,5600,5600,1700,1700,2750,2750,A,1,80,Belize,1981,2016,,,,
70,Mexico,1,1,3,4,"Usumacinta, Chixoy, Suchiate","180, 50, 75",305,"Grijalva-Usumacinta, Suchiate","120000, 1840",121840,"81000, 530",81530,"39000, 1320",40320,"A,B,B",2,90,Guatemala,1868,2016,,,,
80,Belize,1,1,1,2,Sarstùn,40,40,Sarstùn,1800,1800,230,230,1920,1920,B,2,90,Guatemala,1981,2016,,,,
90,Guatemala,1,1,2,2,"Motagua, Frio","20, 10",30,"Motagua, Lempa","12570, 9870",22440,"10660, 460",11120,"1910, 3555",5465,"A,B",3,91,Honduras,1899,2016,,,,
90,Guatemala,1,1,7,4,"Goascoràn, Cusmapa, Güija, Anguiatù, Paz, Güeveapa, Chingo","65, 10, 10, 40, 55, 15, 10",205,"Goascoràn, Paz","2500, 1650",4150,"1910, 920",2830,"590, 730",11320,"A,A,A,A,A,A,A",1,92,El Salvador,1875,2016,,,,
91,Honduras,1,1,4,4,"Lempa, Sumpal, Torola,  Goascoràn","40, 35, 45, 65",126,"Lempa, Goascoràn","9870, 2500",12370,"3555, 1910",5465,"5855, 590",6445,A,1,92,El Salvador,1899,2016,,,,
91,Honduras,1,1,5,1,"Coco, Pateca, Choluteca, Negro, Guasaute","515, 40, 10, 20, 45",630,"Coco, Choluteca, Negro","24800, 6260, 2830",33890,"4210, 6100, 1185",11495,"20590, 160, 1645",22395,"A,A,A,B,A",1,93,Nicaragua,1900,2016,,,,
93,Nicaragua,1,1,1,1,San Juan,125,125,San Juan,39350,39350,26780,26780,12570,12570,A,1,94,Costa Rica,1920,2016,,,,
94,Costa Rica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,Nicaragua,1920,2016,,,,
94,Costa Rica,1,1,2,4,"Sixaola, Yorkin","65, 10",75,Sixaola,3300,3300,2570,2570,730,730,"A,B",3,95,Panama,1920,2016,,,,
95,Panama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Colombia,1920,2016,,,,
100,Colombia,1,1,8,4,"Atabapo, Orinoko, Meta, Arauca, Negro, Oirà, Intermedio, Rio de Oro","120, 275, 240, 235, 240, 25, 40, 55",1230,"Orinoco, Amazon, Catatumbo","966000, 5870000, 34840",6870840,"30000, 340000, 19300",389300,"626000, 50000, 15540",691540,"A,A,A,A,A,A,A,A",1,101,Venezuela,1841,2016,,,,
100,Colombia,1,1,5,1,"Putumayo, San Miguel, Mira, Mataje, Rio Patià","160, 125, 15, 30, 25",355,"Amazonas, Mira, Mataje, Patia","5870000, 11200, 870, 22540",5904610,"340000, 4280, 249, 22400",366929,"125000, 6920, 630, 140 ",132690,"A,B,B,B,B",2,130,Ecuador,1854,2016,,,,
100,Colombia,1,1,3,4,"Amazonas, Putumayo, Atacuari","100, 860, 15",975,Amazonas,5870000,5870000,340000,340000,935000,935000,"A,A,A",1,135,Peru,1922,2016,,,,
100,Colombia,1,1,7,4,"Japurà, Taraira, Apaporis, Papuri, Isana, Vaupès, Q Lanà","25, 155, 35, 120, 50, 150, 50",585,Amazonas,5870000,5870000,340000,340000,3715000,3715000,"A,A",1,140,Brazil,1831,2016,,,,
101,Venezuela,1,1,4,4,"Cuyuni, Venamo, Amacuro, Acarabisi","110, 130, 70, 35",345,"Essequibo, Amacuro",147000.1026,148026,"33810, 7960",41770,"113190, 2300",115490,"A,A,A,A",1,110,Guyana,1966,2016,,,,
101,Venezuela,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,Brazil,1841,2016,,,,
110,Guyana,1,1,3,1,"Courantyne, Coeroeni, Sipalwini","450, 230, 80",760,Courantyne,72100,72100,35200,35200,36900,36900,"A,A,B",1,115,Suriname,1975,2016,,,,
110,Guyana,1,1,2,1,"Ireng, Tacutu","330, 225",555,Amazonas,5870000,5870000,5000,5000,3715000,3715000,"A,B",3,140,Brazil,1966,2016,,,,
115,Suriname,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,Brazil,1975,2016,,,,
130,Ecuador,1,1,3,4,"Mzrznon, Amazonas, Huallaga",0,0,Amazonas,5870000,5870000,0,0,0,0,"B,A,B",2,135,Peru,1854,1879,,,,
130,Ecuador,1,1,12,4,"Napo, Aguarico, Zarumilla, Tumbes, Chira, Conchis, San Francisco, Lagartococha, Guepi, Cazaderas, Pilares, Macarà","25, 35, 35, 65, 45, 45, 20, 75, 40, 45, 45, 110",585,"Amazonas, Zurumilla, Tumbes, Chira","5870000, 1570, 4655, 16220",5892445,"12500, 880, 2640, 7480",23500,"935000, 690, 2015, 8740",946445,"A,A,A,A,A,A,A,A,A,A,A,A",1,135,Peru,1883,2016,,,,
130,Ecuador,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,Brazil,1854,1921,,,,
135,Peru,1,1,12,4,"Moura, Liberdade, Gregorio, Tarauacà, Envira, Jurupari, Moaco, Purus,  San Francisco, Edimara, Iquiri, Sta Rosa",0,0,Amazonas,5870000,5870000,0,0,0,0,"A,A,A,A,A,A,A,A,A,A,A,A",1,140,Brazil,1839,1879,,,,
135,Peru,1,1,6,4,"Acre, Purus, Breu, Yavari, Shambuyacu, Sta Rosa","110, 20, 60, 400, 40, 80",710,Amazonas,5870000,5870000,935000,935000,3715000,3715000,"A,A,B,A,A,A",1,140,Brazil,1883,2016,,,,
135,Peru,1,1,5,4,"Suches, Tambopata, Heath, Desaguadero, Lanza","70, 10, 160, 10, 75",325,"Lake Titicaca-Poopò, Amazon","114000, 5870000",5984000,"49900, 935000",984900,"59300, 700000",759300,"B,A,B,A,A",1,145,Bolivia,1848,1879,,,,
135,Peru,1,1,5,4,"Suches, Tambopata, Heath, Desaguadero, Lanza","70, 10, 160, 10, 75",325,"Lake Titicaca-Poopò, Amazon","114000, 5870000",5984000,"49900, 935000",984900,"59300, 700000",759300,"B,A,B,A,A",1,145,Bolivia,1883,2016,,,,
135,Peru,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,Chile,1883,2016,,,,
